keys,ru,en
LOC_10_DESC,"Барабаны внутренних земель не всегда требуют барабанщиков. Вдоль этого самого западного мыса, где пустыня наконец иссякает в соль, на грани сна слышатся иные шествия — мерные, многочисленные, идущие на запад через море, какое они ещё не заметили на своём пути. Фетиши древнейших жречеств, хранимые в подвалах, что колониальные ведомства не заносили в опись, говорят, обращены — без того, чтобы их поворачивали, — в направлении блуждающего бога, чьё прозвание означает приблизительно «вестник»; послание, по всем сведениям, запаздывает.","The drums of the interior do not always require drummers. Along this westernmost cape, where the desert at last exhausts itself into salt, certain processions are heard at the edge of sleep — measured, multitudinous, marching west across a sea they have not yet noticed is in their way. The fetishes of the older priesthoods, kept in cellars the colonial registries never inventoried, are said to face — without being turned — in the direction of a wandering god whose epithet means, approximately, the messenger; the message, by all accounts, is overdue."
LOC_11_REAL,Тристан-да-Кунья,Tristan de Cunha
LOC_11_DESC,"Самая одинокая из всех якорных стоянок, эта вулканическая крупица в южной серости преследуется зыбью, что приходит без бури, и теплом, что поднимается сквозь шпангоуты лодок без огня под ними. Смотрители маяка, коих было примечательное число, вели журналы, чьи последние страницы — в сменяющих друг друга почерках, на протяжении десятилетий — описывают одно и то же приближающееся судно, никогда не ближе горизонта, никогда не отдаляющееся. Островитяне говорят, что судно пристанет, когда его пассажир будет готов; а пассажир, говорят они, готов уже некоторое время, но любезен.","Loneliest of all anchorages, this volcanic crumb in the southern grey is haunted by a swell that arrives without storm and a warmth that rises through the thwarts of the boats with no fire beneath them. The lighthouse-keepers, of whom there have been a peculiar number, kept logs whose final pages — in successive hands, across decades — describe the same approaching vessel, never closer than the horizon, never receding. The islanders say the vessel will dock when its passenger is ready; and the passenger, they say, has been ready for some time, but is courteous."
LOC_12_REAL,Южная Георгия и Сандвичевы острова,South Georgia and the Sandwich Islands
LOC_12_DESC,"Киты этой широты выбрасываются на берег в построениях, какие старые китобои, знавшие своё ремесло, отказывались бить, — ибо очертания их тел на гальке, прочтённые вслух, передают фразу, какую ни один человек не должен произносить в пределах слышимости льда. За южным туманом стоят Горы, а за Горами — Город, а за Городом — нечто, что выжившие из экспедиции Пабоди отказались записать в свой опубликованный отчёт. Этот остров — преддверие. Дверь не заперта, но в настоящее время гостеприимна.","The whales of this latitude beach themselves in formations the old whalers, who knew the trade, refused to harvest — for the lines of their bodies upon the shingle, when read aloud, transcribe a phrase no man should pronounce within hearing of the ice. Beyond the southern fog stand the Mountains, and beyond the Mountains the City, and beyond the City a thing that the survivors of the Pabodie expedition declined to record in their published account. This island is the antechamber. The door is not locked, but is, at present, hospitable."
LOC_13_REAL,"Земля Франца-Иосифа, Архангельская область, Россия","Franz Josef Land, Arkhangelsk Oblast, Russia"
LOC_13_DESC,"На этой нелепой широте солнце — слух, а созвездия перестраиваются над долгой зимой, словно складывая то, что наблюдателю не дозволено прочитать вслух. Лёд несёт звук, какой узнали бы рунорезцы исчезнувшего Ломара, — низкий стон, какой их поэмы описывали как дыхание звезды, ещё не упавшей. В эту параллель вделана дверь. Её петли смазаны. Её ручка с этой стороны снята, а плотника с тех пор нигде не видели.","At this absurd latitude the sun is a rumour, and the constellations rearrange themselves over the long winter as though to spell something the watcher is not meant to read aloud. The ice carries a sound the rune-cutters of vanished Lomar would have recognised — a low keening of the kind their poems described as the breath of a star not yet fallen. A door is fitted into this parallel. Its hinges are oiled. Its handle, on this side, has been removed, and the carpenter has been observed nowhere since the removal."
LOC_14_REAL,"Оулу, Финляндия","Oulu, Finland"
LOC_14_DESC,"В долгую полярную ночь лампы лавок этого северного города мерцают в последовательностях, какие метеостанции, без убеждённости, приписывают атмосферной прихоти. Фольклор этих широт сохраняет имена звёзд, каких ни один прибор нынешнего века не может найти, — звёзд, говорят, принадлежащих небу более древнему, чем нынешнее небо, и поныне вращающихся над страной, какую древние скальды звали Олатоэ, утраченной подо льдом, что не есть, строго говоря, лёд. Дети, рождённые здесь в самую долгую тьму, иногда нарекаются дважды; второе имя, хранимое в тайне, — то, какое использует снег.","In the long polar night the shop-lamps of this northern city flicker in sequences the meteorological stations attribute, without conviction, to atmospheric whim. The folklore of these latitudes preserves the names of stars no instrument of the present century can locate — stars said to belong to a sky older than the present sky, and to wheel still over a country called by the old skalds Olathoë, lost beneath ice that is not, technically, ice. Children born here on the longest dark are sometimes named twice; the second name, kept private, is the one the snow uses."
LOC_15_REAL,"Кейптаун, Южная Африка","Cape Town, South Africa"
LOC_15_DESC,"На этом последнем мысе два океана ведут переговоры открыто, а третий — никогда не виданный, никогда не нанесённый на карты — сидит молчаливой третьей стороной при всяком договоре. Плоская гора за спиной у города — сцена, и в час, когда солнце удаляется, накрывается стол; об обедающих говорят лишь в нижних тавернах гавани, а официантов, когда наконец их увидишь, узнаёшь по отсутствию какой-либо черты, какую можно описать. Морякам, у которых дела в дальних водах, советуют пополнять свои запасы здесь быстро и не вглядываться слишком долго в скатерть.","At this last cape the two oceans negotiate openly, and a third — never seen, never charted — sits as the silent third party at every contract. The flat mountain at the city's back is a stage, and at the hour the sun retires the table is laid; the diners are spoken of only in the harbour's lower taverns, and the waiters are recognisable, when at last seen, by the absence of any feature one might describe. Sailors with business in further waters are advised to refresh their stores quickly here, and not to look too long at the cloth."
LOC_16_REAL,"Красноярск, Россия","Krasnoyarsk, Russia"
LOC_16_DESC,"Енисей течёт вспять раз в поколение, на протяжении одного втянутого вдоха тайги; те, кто оказался в тот миг стоящим на берегу, стареют в последующие десятилетия в направлениях не строго вперёд. К востоку от города простирается лес, пока само простирание не сделается любезностью, — и где-то в нём лежит поляна, какую советские картографы, при всём усердии, не могли уговорить лечь на карту. Небо над той поляной имеет иной цвет. Цвет занесён в более старые архивы этого города под именем, какое библиотекари отказываются читать вслух.","The Yenisey runs upstream once a generation, for the duration of one indrawn breath of the taiga; those who happen to be standing on the bank at that moment age, in subsequent decades, in directions not strictly forward. East of the city the forest extends until extension itself becomes a courtesy — and somewhere within it lies a clearing the Soviet cartographers, despite every diligence, could not persuade onto a map. The sky above that clearing has a different colour. The colour is filed, in this city's older archives, under a name the librarians decline to read aloud."
LOC_17_REAL,"Бомбей, Индия","Bombay, India"
LOC_17_DESC,"Три календаря состязаются в этом великом порту, и в священные дни третьего — какие, по замыслу, выпадают между датами, признаваемыми двумя другими, — некоторые проёмы у древнейшей окраины города перестают, ненадолго, быть проёмами. Те, кто проходит сквозь них, обнаруживают, что идут коридором, схожим с базаром, но содержащим не товары, а только вслушивание. Факиры внутренних дорог говорят, если им заплатить, о плоскогорье за высокими горами, где ветер ведёт спор на языке, какой ветер в прочих местах уже забыл; дорога на то плоскогорье начинается, говорят они, в переулке этого города, какого ни одна карта не признаёт.","Three calendars contend in this great port, and on the holy days of the third — which fall, by design, between the dates the others recognise — certain doorways at the city's older edge cease, briefly, to be doorways. Those who pass through find themselves walking a corridor that resembles the bazaar but contains no goods, only a listening. The fakirs of the inland roads speak, when paid, of a plateau beyond the high mountains where the wind argues in a tongue the wind elsewhere has forgotten; the road to that plateau begins, they say, in a lane of this city no map admits."
LOC_18_REAL,"Порт-о-Франсе, Французские Южные и Антарктические территории","Port aux Francais, French Southern and Antarctic Lands"
LOC_18_DESC,"Острова Запустения оправдывают своё имя дважды: единожды — за пустой ветер, и единожды — за слушающего, что несётся в нём. Здесь длинная зыбь катится непрерывно из четверти южного моря, какую ни одна карта не признает своей, и здесь чёрный пляж принимает в неверную ночь неверного месяца волну, что знает стоящего гостя по слогу, какой его родители отказались внести в свидетельство. Записи китобойной станции, где они вообще уцелели, включают имена, занесённые после того, как их носители убыли, — рукою писарей, какие к тому моменту ещё не были наняты.","The Desolation Islands earn their name twice over: once for the empty wind, and once for the listener carried within it. Here a long swell rolls in unbroken from a quarter of the southern sea no chart will admit to possessing, and here a black beach receives, on the wrong night of the wrong month, a wave that knows the standing visitor by the syllable his parents declined to inscribe upon the certificate. The whaling-station's records, where they survive at all, include certain names entered after the bearers had departed, in the hands of clerks who had not yet been hired."
LOC_19_REAL,"Беринговский, Россия","Beringovsky, Russia"
LOC_19_DESC,"У этого узкого пролива континенты склоняются друг к другу через море, слишком холодное, чтобы хранить тайны, — и всё же их хранящее. Оленеводы сохраняют в песнях, какие этнографы оставили попытки записать, слух о тропе из чёрных камней, что всплывает лишь при самом низком отливе столетнего года, — ведущей к острову, какой при последующей съёмке отказывается обнаружиться вновь. Те, кто прошёл по этой тропе, возвращаются со словарём, увеличенным на одно слово; слово — для цвета, для какого у нас пока нет глаз, достаточных, чтобы его принять.","At this narrow strait the continents lean toward each other across a sea too cold to keep secrets, and yet keeps them. The reindeer herders preserve, in songs the ethnographers have given up trying to transcribe, the rumour of a path of black stones that surfaces only at the lowest tide of the centennial year — leading to an island that, when surveyed afterward, declines to be re-found. Those who have walked the path return with a vocabulary larger by one word; the word is for a colour the rest of us do not yet have eyes adequate to receive."
LOC_20_REAL,"Макассар, Индонезия","Makassar, Indonesia"
LOC_20_DESC,"Пряность в этих складах обладает памятью. В малые часы уши, осторожно прижатые к старейшим мешкам, ловили обрывки разговора — заключаемые сделки, обмениваемые обеты — из плаваний, какие ни один капитан в порту ещё не принял. Культ Великого Спящего здесь не слух; его моряки проходят через гавань в количествах, каких капитан порта не заносит в журнал, направляясь к островам, какие самый недавний атлас Адмиралтейства в этом году наконец согласился опустить. Торгуйтесь осторожно в этом порту; счёт, открытый в этой жизни, по местному обычаю погашается в следующей, какая здесь ближе, чем в большинстве мест.","The spice in these warehouses has memory. In the small hours, ears placed cautiously against the older sacks have caught fragments of conversation — bargains being struck, vows being exchanged — from voyages no captain in the port has yet accepted. The Cult of the Great Sleeper is no rumour here; its sailors pass through the harbour in numbers the harbourmaster does not record, bound for islands the Admiralty's most recent atlas has, this year, finally agreed to omit. Bargain carefully in this port; an account opened in this life is, by local custom, settled in the next, which is closer here than to most."
LOC_21_REAL,"Улуру, Северная территория, Австралия","Uluru, Northern Territories, Australia"
LOC_21_DESC,"Камень — не камень. Это глагол на полуслоге, остановленный на промежуток, какой филологи исчезнувшей Расы, что построила свою библиотеку под этой пустыней, исчислили — с терпеливым ужасом — заранее. Они оставили свои архивы привязанными к его завершению — умы, что путешествовали вне тел давно вымерших, дабы ненадолго поселиться в телах людей, какие пробуждались потом со странными снами и ещё более странными умениями. Ступайте здесь тихо. Не взбирайтесь. Завершение слога, хотя пока не внесено ни в один человеческий календарь, внесено в иной, и тот календарь сверяется еженощно тем, что не спит, строго говоря.","The stone is not a stone. It is a verb in mid-syllable, paused for a duration the philologists of the vanished Race that built their library beneath this desert calculated, with patient terror, in advance. They left their archives keyed to its completion — minds that travelled out of bodies long extinct to lodge briefly in the bodies of men, who woke afterward with strange dreams and stranger competencies. Walk softly here. Do not climb. The completion of the syllable, while not yet entered into any human calendar, has been entered into another, and that calendar is consulted nightly by something which does not, strictly, sleep."
LOC_THE_AMAZON_REAL,"Река Амазонка, Бразилия","Amazon River, Brazil"
LOC_THE_AMAZON_DESC,"Над пологом попугаи спорят на языках, какие иезуиты в своих долгих обречённых миссиях отказывались записывать. Под ним, в долгом зелёном сумраке, экспедиции натыкались на камни, обтёсанные на углы, каких ни одно иберийское долото не одобрит, — обломки города, какой река принимает как старшего родственника. Затерянные племена этих вод хранят между собою календарь, какой миссионеры звали богохульным, а позже антропологи — неполным. Богохульство и неполнота — один и тот же факт: одна дата отсутствует, и та дата приближается, и река, что знает, начала замедляться.","Above the canopy the parrots argue in tongues the Jesuits, on their long doomed missions, declined to record. Beneath it, in the long green twilight, expeditions have stumbled upon stones cut to angles no Iberian chisel approves — fragments of a city the river accepts as elder kin. The lost tribes of these waters keep, between themselves, a calendar the missionaries called blasphemous and the anthropologists, more recently, called incomplete. The blasphemy and the incompleteness are the same fact: a date is missing, and the date is approaching, and the river, which knows, has begun to slow."
LOC_THE_PYRAMIDS_REAL,"Гиза, Египет","Giza, Egypt"
LOC_THE_PYRAMIDS_DESC,"Под третьим и самым большим из этих памятников лежит покой, какой династии верхнего мира отказались внести в опись; а под этим покоем — лестница; а под этой лестницей — бог, чья учтивость в том, чтобы быть называемым «фараоном» теми, кто не заслужил более древнего имени. Путник недавней памяти, спущенный своими проводниками ради забавы и потерянный на промежуток, какой пустыня измерила в звёздах, вернулся с бледностью и молчанием, что не сошли. Он узрел, мельком, тех, кому пирамиды не нужны, — для кого пирамиды были лишь любезностью, — и более никогда не говорил о Египте.","Beneath the third and largest of these monuments lies a chamber the dynasties of the upper world declined to inventory; and beneath that chamber, a stair; and beneath that stair, a god whose courtesy it is to be addressed as Pharaoh by those who have not earned the older name. A traveller of recent memory, lowered by his guides for amusement and lost for an interval the desert measured in stars, returned with a pallor and a silence that did not lift. He had glimpsed, briefly, the things that do not require pyramids — for whom the pyramids were merely a politeness — and he never spoke of Egypt again."
LOC_THE_HEART_OF_AFRICA_REAL,"Озеро Танганьика, Конго","Lake Tanganyika, Congo"
LOC_THE_HEART_OF_AFRICA_DESC,"В стране великих озёр барабаны держат ритм, что не есть, строго говоря, ритм времени. Охотники, что спят слишком далеко от своих костров, возвращаются — когда возвращаются — рассказывая о тёмной фигуре, идущей по саванне, не тревожа травы, чьё прохождение возвещается малой переменой в цвете луны. Деревни близ долгого рифта имеют между собой имя для него; имя не используется после захода солнца и в любом случае не его. Он, настаивает молва, лишь вестник; а послание, если верить барабанам, наконец записано.","In the great lakes country the drums keep a measure that is not, strictly, a measure of time. Hunters who sleep too far from their fires return — when they return — speaking of a dark figure walking the savannah without disturbing the grass, whose passage is announced by a small change in the colour of the moon. The villages near the long rift have, between them, a name for him; the name is not used after sundown, and is not, in any case, his. He is, rumour insists, only the messenger; and the message, if the drums are to be believed, has at last been written down."
LOC_THE_HIMALAYAS_REAL,"Гора Кайлас, Тибет, Китай","Mount Kailash, Tibet, China"
LOC_THE_HIMALAYAS_DESC,"За высочайшими перевалами — за тем самым перевалом, на котором сдаются терпеливые карты британских топографов, — простирается, говорят, плоскогорье, называемое старыми тибетцами Ленг, ещё более старыми тибетцами — ничем, а ламами безоконного монастыря — слогом, какой они предпочитают шевелить губами без голоса. На Ленге стоят город, что был стар прежде, чем была задумана Лхаса, и единственная гора выше Эвереста по всякой мерке, что не строго географическая. Имя горы — Кадат. Её вершина имеет постоянного жильца. Жилец иногда глядит вниз.","Beyond the highest passes — beyond even the pass that the patient maps of the British surveyors give up at — there is said to extend a plateau called by the old Tibetans Leng, by the older Tibetans nothing, and by the lamas of the windowless monastery a syllable they prefer to mouth without voicing. Upon Leng stand a city that was old before Lhasa was conceived, and a single mountain higher than Everest in any measure that is not strictly geographical. The mountain's name is Kadath. Its summit has a steady tenant. The tenant, occasionally, looks down."
LOC_TUNGUSKA_REAL,"Подкаменная Тунгуска, Красноярский край, Россия","Podkamennaya Tunguska River, Krasnoyarsk Krai, Russia"
LOC_TUNGUSKA_DESC,"В ранние годы этого столетия здесь упало нечто, что сейсмографы двух континентов почувствовали и метеорологи, после многих учтивых лет, отказались классифицировать. Лес был положен в радиальном совершенстве от единого пустого центра, и из этого центра — на сезон — изливался цвет, какой сельские свидетели описывали, беспомощно, как неверный. Цвет ушёл теперь из открытого воздуха, но не ушёл, строго говоря; колодцы выживших деревень отражают в иные ночи оттенок, какой фотографическая пластина отказывается зафиксировать, а скот, что пьёт из них, не видит в последующих поколениях снов, какие подобают скоту.","In the early years of this century something fell here that the seismographs across two continents felt and the meteorologists, after many polite years, declined to classify. The forest was laid down in radial perfection from a single empty centre, and from that centre — for a season — issued a colour the rural witnesses described, helplessly, as wrong. The colour is gone now from the open air, but is not, strictly, gone; the wells of the surviving villages reflect, on certain nights, a tint the photographic plate refuses to register, and the cattle that drink from them do not, in subsequent generations, dream as cattle should."
LOC_ANTARCTICA_REAL,Антарктида,Antarctica
LOC_ANTARCTICA_DESC,"За Хребтами Безумия — ибо выжившие из экспедиции Пабоди, увидев их, не могли иначе их назвать — простирается циклопический город Древних, что сошли со звёзд прежде, чем у звёзд были имена, и строили, и биологизировали, и в конце концов поссорились с собственными созданиями. Шогготы ещё шевелятся в нижних подвалах. Ветер этих перевалов несёт пятинотную свирель часового, какой по всякому милосердию физики должен был бы уже вымереть. Путников, что предполагают зимовать на этом континенте, любезно просят держать свои дневники краткими, фотографии — непечатанными, а заключения — при себе.","Beyond the Mountains of Madness — for the survivors of the Pabodie expedition, having seen them, could call them nothing else — stretches the cyclopean city of the Old Ones, who came down from the stars before stars had names, and built, and biologised, and at length quarrelled with their own creations. The shoggoths still stir in the lower vaults. The wind of these passes carries the five-noted piping of a sentinel that ought, by every charity of physics, to be extinct. Travellers proposing to overwinter on this continent are kindly asked to keep their journals brief, their photographs unprinted, and their conclusions to themselves."
LOC_SAN_FRANCISCO_REAL,"Сан-Франциско, Калифорния, США","San Francisco, CA, USA"
LOC_SAN_FRANCISCO_DESC,"В старейших меблированных комнатах под Телеграф-Хилл Культ Великого Спящего проводит собрания, какие полиция, даже присутствуя, не протоколирует. Туман залива накатывает по расписаниям, предсказывать какие метеорологическая служба перестала, а иные переулки китайского квартала открываются после полуночи в ещё более длинные переулки — переулки, чьи дальние концы более не находятся, строго говоря, в Калифорнии. Землетрясение недавнего прошлого не вполне завершило то, что начало. То, что оно начало, на определённых координатах под заливом, спит ныне чутко, и сообщалось, что оно перевернулось во сне на дату, какую Геологическая служба отметила красным и не опубликовала.","In the older boarding-houses below Telegraph Hill the Cult of the Great Sleeper holds meetings the police, even when present, do not transcribe. The bay's fog rolls in on schedules the meteorological office has stopped attempting to predict, and certain alleys of the Chinese quarter open, after midnight, upon longer alleys still — alleys whose latter ends are no longer, technically, in California. The earthquake of the recent past did not quite finish what it started. What it started, at certain coordinates beneath the bay, sleeps lightly now, and is reported to have shifted in its sleep on a date the Geological Survey marked in red and did not publish."
LOC_ARKHAM_REAL,"Уэнэм, Массачусетс, США","Wenham, Massachusetts, USA"
LOC_ARKHAM_DESC,"Древний под своими ломаными крышами, этот массачусетский городок хранит свои тайны в библиотеках Мискатоникского университета, чьи запертые комнаты содержат единственный известный английский экземпляр «Некрономикона», что допускает посетителей. У Ведьминого дома на Пикман-стрит каждый сезон новые жильцы; немногие доживают до конца семестра. Холмы за Данвичем тише теперь, чем в дурной год, но они не вполне восстановлены, и семьи, что поднимаются на них в равноденствие, возвращаются меньшим числом и не всегда возвращаются тем же числом, с каким начали. Городок не рекламирует себя. В том нет нужды.","Ancient under its gambrel roofs, this Massachusetts town keeps its secrets in the libraries of Miskatonic University, whose locked rooms house the only English copy of the Necronomicon known to admit visitors. The Witch House on Pickman Street has new tenants each season; few finish the term. The hills beyond Dunwich are quieter now than in the bad year, but they are not, strictly, restored, and the families that go up to them at the equinox come back fewer, and do not always come back as the same number they started. The town does not advertise itself. It does not need to."
LOC_BUENOS_AIRES_REAL,"Буэнос-Айрес, Аргентина","Buenos Aires, Argentina"
LOC_BUENOS_AIRES_DESC,"В этом великом южном порту старые семейства держат гроссбухи, в которых иные долги записаны письмом, какое аудиторы нынешнего века не могут определить, — финикийским, быть может, или ещё более древним. Культ утопшего бога имеет здесь капитулярный дом, скромно обставленный, чьё членство насчитывает ровно столько, сколько должно для исполнения необходимой работы, и не более. Моряки, рассчитывающиеся в этой гавани, бывало, получали в сдачу монету, отчеканенную прежде любой нации, что когда-либо чеканила валюту, и тратили её, не сделав замечания; монета возвращается в кассу сама собой к утру, а ночные расчёты, рассматриваемые в холодном гроссбухе, сходятся не вполне.","At this great southern port the old families keep ledgers in which certain debts are recorded in a script the auditors of the present century cannot place — Phoenician, perhaps, or older. The cult of the drowned god has a chapter house here, modestly furnished, whose membership numbers exactly what it must to perform the necessary work and no more. Sailors paying off in this harbour have been known to receive, in change, a coin minted before any nation that ever struck currency, and to spend it without remarking; the coin returns to the till of its own accord by morning, and the night's transactions, viewed in the cold ledger, do not entirely add up."
LOC_LONDON_REAL,"Лондон, Англия, Великобритания","London, England, UK"
LOC_LONDON_DESC,"В задней комнате Британского музея, за коридором, какой публичные планы отказываются чертить, лежит экземпляр запретной книги, какую Ди в свои менее защитимые годы перевёл; хранители комнаты имеют с томом уговор, что том на сегодня согласился чтить. Туманы этого города старше его промышленности и, как утверждают определённые антикварные общества, бывают временами обитаемы. Псы, что слышатся на иных переходах через Темзу, не есть, строго говоря, собаки; шум, какой они производят, есть шум тех, кто принёс с дальних раскопок талисман, какой не следовало вывозить.","In a back room of the British Museum, beyond a corridor the public maps decline to draw, lies a copy of the forbidden book that Dee, in his less defensible years, translated; the keepers of the room have an arrangement with the volume that the volume, for now, has consented to honour. The fogs of this city are older than its industry and are, it is said by certain antiquarian fellowships, intermittently inhabited. The hounds heard at certain crossings of the Thames are not, technically, dogs; the noise they make is the noise made by those who have brought back, from a far excavation, a charm they should not have removed."
LOC_ROME_REAL,"Рим, Италия","Rome, Italy"
LOC_ROME_DESC,"Под форумом более древние камни помнят имена, какие Республика предпочитала забыть, а катакомбы спускаются сквозь слои, какие археологи нынешнего поколения договорились молчаливым профессиональным сговором не публиковать. Есть фреска в покое, доступном лишь через три запечатанные двери и реестр разрешений, в какой не вносилось дополнений уже столетие, — изображающая шествие фигур, чьи пропорции в точности и тревожно те самые, какие описаны в манускрипте одного очень древнего народа, что сошёл с холмов прежде, чем пришли легионы. Шествие не завершилось. Оно, в сущности, продолжается.","Beneath the forum the older stones remember names the Republic preferred to forget, and the catacombs descend through layers the archaeologists of the present generation have agreed, by tacit profession, not to publish. There is a fresco, in a chamber accessible only through three sealed doors and a ledger of permissions that has not been added to in a century, depicting a procession of figures whose proportions are exactly, and disturbingly, those described in a manuscript of certain very old folk who came down from the hills before the legions arrived. The procession has not concluded. It is, in fact, ongoing."
LOC_ISTANBUL_REAL,"Стамбул, Турция","Istanbul, Turkey"
LOC_ISTANBUL_DESC,"Два континента встречаются под долгим мостом этого города, а третий — никогда вполне не допущенный к географии — проскальзывает между ними по своему собственному делу. В караван-сараях старых кварталов иные путники с Востока, облачённые против большего, нежели ветер, расплачиваются серебром, слишком мягким, чтобы быть серебром, и отбывают через ворота, каких карты муниципалитета после их отбытия более не содержат. Дервиши одного особого ордена кружатся не ради экстаза, а ради сокрытия; они кружатся, говорят они, вокруг дыры в мире, какая иначе расширилась бы, и кружатся они посменно с тех пор, как у города было иное имя.","Two continents meet under the long bridge of this city, and a third — never quite admitted to the geography — slips between them on its own business. In the caravanserais of the older quarters certain travellers from the East, robed against more than the wind, settle their bills in silver too soft to be silver and depart by gates that the maps of the municipality do not, after their departure, contain. The dervishes of one particular order spin not for ecstasy but for occlusion; they whirl, they say, around a hole in the world that would otherwise widen, and they have been whirling, in shifts, since the city had a different name."
LOC_SHANGHAI_REAL,"Шанхай, Китай","Shanghai, China"
LOC_SHANGHAI_DESC,"Нижние причалы этого города выходят на реку, что под своей торговлей течёт к морю, какое не есть Восточно-Китайское. В дыму старейших опиумных курилен Культ Великого Спящего собирается без личины; его члены сличают сны, составляют конкорданции и заказывают проход на судах, чьи манифесты при справке у капитана порта оказываются содержащими больше моряков, чем было замечено к посадке. Есть двор за определённой чайной, в каком луна — когда вообще восходит — восходит зелёной; те, кто видел зелёную луну, потом свободно владеют языком, какому их не учили, и неохотно его используют.","The lower wharves of this city open upon a river that, beneath its commerce, runs to a sea that is not the East China. In the smoke of the older opium houses the Cult of the Great Sleeper meets without disguise; its members compare dreams, compile concordances, and book passage upon vessels whose manifests, when consulted by the harbourmaster, prove to list more sailors than were observed to embark. There is a courtyard, behind a particular tea-house, in which the moon — when it rises at all — rises green; those who have seen the green moon are, afterward, fluent in a language they have not been taught, and reluctant to use it."
LOC_SYDNEY_REAL,"Сидней, Австралия","Sydney, Australia"
LOC_SYDNEY_DESC,"Эта гавань — врата к великой внутренней пустыне, под которой на координатах, какие Геологическая служба Содружества нашла недавно повод утратить, лежат базальтовые залы города, выстроенного умами, что прибыли в телах конусообразных существ и одалживали себя время от времени телам иных, в том числе нашим. Сны иных профессоров университетов этого города включали в последнее столетие целые послеполуденные часы, проведённые за чтением в библиотеках, какие те профессора никогда не посещали. Профессора более не публикуются. Библиотеки, по предварительной записи, всё ещё открыты.","This harbour is the gateway to the great inland desert, beneath which — at coordinates the Geological Survey of the Commonwealth has lately found reason to misplace — lie the basalt halls of a city built by minds that arrived in the bodies of cone-shaped beings, and that lent themselves, periodically, to the bodies of others, including ours. The dreams of certain professors of this city's universities have, within the last century, included whole afternoons spent reading in libraries those professors never visited. The professors no longer publish. The libraries are, by appointment, still open."
LOC_TOKYO_REAL,"Токио, Япония","Tokyo, Japan"
LOC_TOKYO_DESC,"Под этим великим городом текут старые русла — храмовые потоки, какие инженеры перекрыли, но не вполне, строго говоря, пресекли. Из них в иные календарные ночи, каких современные альманахи не перечисляют, приходит прилив, что не есть вода, и звук, какой жрецы одной малоизвестной святыни обучаются год за годом переводить. Тихий океан к востоку от этого архипелага несёт под всеми своими честными волнами более долгую — зыбь, чьё происхождение океанографы учтиво отказались определять. Когда она придёт, жрецам не звонить ни в один колокол. Указание ясно. Святыня в тот час должна быть просто пустой и слушающей.","Beneath this great city the old courses run — temple streams the engineers covered over but did not, technically, sever. From them, on certain calendar nights the modern almanacs do not list, comes a tide that is not water, and a sound the priests of one obscure shrine train, year by year, to translate. The Pacific to the east of this archipelago carries, under all its honest waves, a longer one — a swell whose origin the oceanographers have politely declined to locate. When it arrives, the priests are to ring no bell. The instruction is clear. The shrine, upon that hour, is to be merely empty, and listening."
LOC_1_NAME,Анкоридж,Anchorage
LOC_2_NAME,К северо-востоку от Гавайев,Northeast of Hawaii
LOC_3_NAME,Точка Немо,Point Nemo
LOC_4_NAME,Форт-Провиденс,Fort Providence
LOC_5_NAME,Средний Запад,The Midwest
LOC_6_NAME,Даллас,Dallas
LOC_7_NAME,Панама,Panama City
LOC_8_NAME,Бермудский треугольник,Bermuda Triangle
LOC_9_NAME,Остров Диско,Disko Island
LOC_10_NAME,Дакар,Dakar
LOC_11_NAME,Тристан-да-Кунья,Tristan de Cunha
LOC_12_NAME,Южная Георгия,South Georgia
LOC_13_NAME,Земля Франца-Иосифа,Franz Josef Land
LOC_14_NAME,Оулу,Oulu
LOC_15_NAME,Кейптаун,Cape Town
LOC_16_NAME,Красноярск,Krasnoyarsk
LOC_17_NAME,Бомбей,Bombay
LOC_18_NAME,Кергелен,Kerguelen
LOC_19_NAME,Беринговский,Beringovsky
LOC_20_NAME,Макассар,Makassar
LOC_21_NAME,Улуру,Uluru
LOC_THE_AMAZON_NAME,Амазония,The Amazon
LOC_THE_PYRAMIDS_NAME,Пирамиды,The Pyramids
LOC_THE_HEART_OF_AFRICA_NAME,Сердце Африки,The Heart of Africa
LOC_THE_HIMALAYAS_NAME,Гималаи,The Himalayas
LOC_TUNGUSKA_NAME,Тунгуска,Tunguska
LOC_ANTARCTICA_NAME,Антарктида,Antarctica
LOC_SAN_FRANCISCO_NAME,Сан-Франциско,San Francisco
LOC_ARKHAM_NAME,Аркхэм,Arkham
LOC_BUENOS_AIRES_NAME,Буэнос-Айрес,Buenos Aires
LOC_LONDON_NAME,Лондон,London
LOC_ROME_NAME,Рим,Rome
LOC_ISTANBUL_NAME,Стамбул,Istanbul
LOC_SHANGHAI_NAME,Шанхай,Shanghai
LOC_SYDNEY_NAME,Сидней,Sydney
LOC_TOKYO_NAME,Токио,Tokyo

SKILL_LORE,ЗНАНИЕ,LORE
SKILL_INFLUENCE,ВЛИЯНИЕ,INFLUENCE
SKILL_OBSERVATION,НАБЛЮДЕНИЕ,OBSERVATION
SKILL_STRENGTH,СИЛА,STRENGTH
SKILL_WILL,ВОЛЯ,WILL
PICKER_NOT_SELECTED,— Не выбран —,— Not selected —


BTN_PASS,Пас,Pass
FORM_CODE,Код:,Code:
BTN_LOG_IN,ВОЙТИ,LOG IN
MENU_QUIT,Выйти,Quit
FORM_LANGUAGE,Язык:,Language:
